02/28/2020, $273.36, 106721200, $257.26, $278.41, $256.37
02/27/2020, $273.52, 80151380, $281.1, $286, $272.96
02/26/2020, $292.65, 49678430, $286.53, $297.88, $286.5
02/25/2020, $288.08, 57668360, $300.95, $302.53, $286.13
02/24/2020, $298.18, 55548830, $297.26, $304.18, $289.23
02/21/2020, $313.05, 32426420, $318.62, $320.45, $310.5
02/20/2020, $320.3, 25141490, $322.63, $324.65, $318.21
02/19/2020, $323.62, 23495990, $320, $324.57, $320
02/18/2020, $319, 38190550, $315.36, $319.75, $314.61
02/14/2020, $324.95, 20028450, $324.74, $325.98, $322.85
02/13/2020, $324.87, 23686890, $324.19, $326.22, $323.35
02/12/2020, $327.2, 28432570, $321.47, $327.22, $321.47
02/11/2020, $319.61, 23580780, $323.6, $323.9, $318.71
02/10/2020, $321.55, 27337220, $314.18, $321.55, $313.85
02/07/2020, $320.03, 29421010, $322.37, $323.4, $318
02/06/2020, $325.21, 26356390, $322.57, $325.22, $320.2648
